captured_at_utc,line_id,line_name,mode_name,status_severity,status_severity_description,reason,disruption_category,validity_period_from,validity_period_to
2026-09-24T17:19:54+00:00,central,Central,tube,9,Minor Delays,Central Line: Minor delays between White City and Ealing Broadway/West Ruislip and between Leytonstone and Epping/Hainault via Newbury Park due train cancellations. GOOD SERVICE on the rest of the line.,RealTime,2026-09-24T13:32:46Z,2026-09-25T00:29:00Z
2026-09-24T17:19:54+00:00,central,Central,tube,9,Minor Delays,Central Line: Minor delays between White City and Ealing Broadway/West Ruislip and between Leytonstone and Epping/Hainault via Newbury Park due train cancellations. GOOD SERVICE on the rest of the line.,RealTime,2026-09-24T13:32:46Z,2026-09-25T00:29:00Z
2026-09-24T17:19:54+00:00,circle,Circle,tube,10,Good Service,,,,
2026-09-24T17:19:54+00:00,district,District,tube,10,Good Service,,,,
2026-09-24T17:19:54+00:00,hammersmith-city,Hammersmith & City,tube,10,Good Service,,,,
2026-09-24T17:19:54+00:00,jubilee,Jubilee,tube,10,Good Service,,,,
2026-09-24T17:19:54+00:00,metropolitan,Metropolitan,tube,10,Good Service,,,,
2026-09-24T17:19:54+00:00,northern,Northern,tube,10,Good Service,,,,
2026-09-24T17:19:54+00:00,piccadilly,Piccadilly,tube,10,Good Service,,,,
2026-09-24T17:19:54+00:00,victoria,Victoria,tube,10,Good Service,,,,
2026-09-24T17:19:54+00:00,waterloo-city,Waterloo & City,tube,10,Good Service,,,,
